date,eth_open,eth_high,eth_low,eth_close,eth_volume_usd,eth_volume
2016-03-09,10.3,11.2,10.1,11.2,448.43,41.17
2016-03-10,11.2,11.85,11.07,11.75,12.09,1.03
2016-03-11,11.75,11.95,11.75,11.95,607.42,50.85
2016-03-12,11.95,13.45,11.95,12.92,3057.52,237.78
2016-03-13,12.92,15.07,12.92,15.07,5243.67,369.64
2016-03-14,15.07,15.07,11.4,12.5,354314.35,26338.06
2016-03-15,12.63,13.42,11.98,13.06,144519.53,11350.2
2016-03-16,13.06,13.89,12.62,12.88,73150.28,5496.81
2016-03-17,12.58,12.61,10.44,10.74,291265.73,25556.88
2016-03-18,11.09,11.2,8.338,10.74,433007.06,44964.49
2016-03-19,10.97,11.1,9.776,10.31,202796.97,19298.78
2016-03-20,10.55,10.88,9.559,10.18,96539.39,9478.65
2016-03-21,10.18,12.05,10.14,11.95,123992.15,11102.31
2016-03-22,11.53,11.97,11.08,11.37,86635.92,7509.91
2016-03-23,11.37,12.43,11.2,12.43,92226.84,7721.47
2016-03-24,12.43,12.47,10.67,11.2,165125.09,14512.64
2016-03-25,11.32,11.35,10.52,10.67,270650.89,24977.64
2016-03-26,10.67,11.2,10.58,11.0,50345.26,4606.57
2016-03-27,10.93,10.98,10.17,10.4,167274.53,15947.08
2016-03-28,10.4,11.94,10.4,11.62,251757.93,22089.06
2016-03-29,11.78,11.88,11.37,11.79,157433.64,13591.62
2016-03-30,11.79,12.3,11.44,11.85,125755.82,10560.26
2016-03-31,11.92,12.02,11.29,11.41,108841.19,9334.01
2016-04-01,11.41,11.94,11.39,11.62,74115.68,6342.09
2016-04-02,11.65,11.77,11.43,11.61,40162.3,3477.5
2016-04-03,11.61,11.76,11.4,11.75,62344.39,5385.89
2016-04-04,11.6,11.67,10.88,11.15,123810.27,11069.47
2016-04-05,11.15,11.15,9.7,10.4,160223.19,15253.87
2016-04-06,10.4,10.96,10.2,10.76,121760.17,11440.26
2016-04-07,10.76,10.85,9.405,10.12,146156.13,14497.06
2016-04-08,10.05,10.34,9.6,9.71,73439.5,7421.29
2016-04-09,9.692,10.2,9.0,9.15,173703.24,18560.63
2016-04-10,9.15,9.43,7.52,8.757,411127.91,49139.41
2016-04-11,8.56,8.932,8.01,8.68,146542.11,17221.72
2016-04-12,8.531,8.538,7.211,7.526,141800.36,18235.47
2016-04-13,7.483,8.8,6.855,8.09,314280.2,40631.85
2016-04-14,8.081,8.86,8.0,8.455,86759.61,10327.77
2016-04-15,8.392,8.69,8.1,8.32,72559.07,8708.18
2016-04-16,8.23,8.678,8.183,8.541,69951.53,8358.72
2016-04-17,8.7,10.9,8.614,9.455,253831.35,27442.24
2016-04-18,9.302,9.55,8.441,8.973,97968.38,10822.2
2016-04-19,8.973,9.379,8.65,8.714,91329.08,10074.25
2016-04-20,8.73,9.047,8.35,8.614,419024.34,47916.15
2016-04-21,8.614,8.8,8.0,8.11,109474.51,13005.85
2016-04-22,8.23,8.409,7.73,7.969,222058.44,27818.77
2016-04-23,7.948,8.8,7.807,8.46,208092.84,25591.93
2016-04-24,8.348,8.5,8.01,8.097,122801.06,14873.15
2016-04-25,8.05,8.152,7.322,7.539,461248.62,59160.53
2016-04-26,7.56,7.599,7.12,7.499,271095.33,36933.51
2016-04-27,7.398,7.99,7.314,7.798,198931.28,25846.89
2016-04-28,7.725,7.87,7.251,7.33,147364.13,19827.7
2016-04-29,7.234,7.72,7.187,7.515,109547.35,14618.38
2016-04-30,7.45,9.36,7.45,8.872,665792.47,76561.91
2016-05-01,8.742,8.998,8.35,8.752,177602.74,20568.7
2016-05-02,8.828,10.3,8.789,10.0,813291.22,84392.87
2016-05-03,10.01,10.01,9.183,9.343,348946.34,36663.0
2016-05-04,9.382,9.999,9.253,9.463,206323.23,21344.46
2016-05-05,9.4,10.0,9.3,9.79,172454.9,17838.74
2016-05-06,9.849,9.977,9.12,9.351,253973.36,26406.27
2016-05-07,9.449,9.644,9.2,9.351,84135.68,8967.69
2016-05-08,9.414,9.64,9.0,9.5,212084.51,22882.18
2016-05-09,9.51,9.647,9.252,9.318,209335.8,22082.38
2016-05-10,9.311,9.47,9.28,9.382,49014.27,5233.56
2016-05-11,9.382,9.98,9.296,9.886,307708.58,31515.66
2016-05-12,9.919,10.47,9.79,10.04,410920.57,40625.81
2016-05-13,10.09,11.11,10.08,10.6,591359.67,55507.89
2016-05-14,10.6,10.75,9.71,10.16,352942.02,34816.92
2016-05-15,10.25,10.42,9.934,9.966,123288.98,12209.03
2016-05-16,10.01,11.47,10.0,11.09,806189.62,73487.59
2016-05-17,11.15,12.6,11.1,12.08,1845120.28,154564.32
2016-05-18,12.28,14.4,12.21,13.35,1583113.81,120019.47
2016-05-19,13.4,14.65,13.2,14.58,1577575.02,112326.52
2016-05-20,14.74,14.89,13.31,13.79,1386487.68,96767.73
2016-05-21,13.6,14.0,13.01,14.0,804580.0,59723.74
2016-05-22,14.06,14.51,13.62,14.21,477875.98,33768.01
2016-05-23,14.21,14.49,13.32,13.42,672354.48,48597.56
2016-05-24,13.38,13.82,12.0,12.73,1588567.02,124992.22
