https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ADA
1760572800000,2025-10-16 00:00:00,ADA/USD,0.6691,0.66995,0.6691,0.66938,32.6188874,48.730000000000004
1760486400000,2025-10-15 00:00:00,ADA/USD,0.70034,0.715,0.65801,0.6703,119340.44657130403,178040.34994973
1760400000000,2025-10-14 00:00:00,ADA/USD,0.73,0.73512,0.6641,0.70076,391360.30394208245,558479.79899264
1760313600000,2025-10-13 00:00:00,ADA/USD,0.69872,0.73679,0.69275,0.72832,585074.5360549631,803320.70526
1760227200000,2025-10-12 00:00:00,ADA/USD,0.63225,0.7086,0.6213,0.70214,416671.8170100618,593431.24876814
1760140800000,2025-10-11 00:00:00,ADA/USD,0.63893,0.68429,0.61086,0.63264,825916.1097561632,1305507.25492565
1760054400000,2025-10-10 00:00:00,ADA/USD,0.81596,0.8249,0.29513,0.63117,2779058.4706301647,4403026.87173054
1759968000000,2025-10-09 00:00:00,ADA/USD,0.83987,0.83987,0.7942,0.81589,167924.61133077607,205817.70990057001
1759881600000,2025-10-08 00:00:00,ADA/USD,0.82104,0.85173,0.80972,0.83889,338408.0166978175,403399.75050104
1759795200000,2025-10-07 00:00:00,ADA/USD,0.87272,0.8756,0.81905,0.82166,306640.1497021388,373195.90792072
1759708800000,2025-10-06 00:00:00,ADA/USD,0.8365,0.88039,0.832,0.87199,162835.55207380644,186740.15994886
1759622400000,2025-10-05 00:00:00,ADA/USD,0.84007,0.88073,0.82709,0.83711,154957.98895930898,185110.66521641
1759536000000,2025-10-04 00:00:00,ADA/USD,0.8656,0.86845,0.83325,0.8417,136122.31803379912,161723.0818983
1759449600000,2025-10-03 00:00:00,ADA/USD,0.87079,0.8923,0.85019,0.86472,326830.0809578964,377960.58950631
1759363200000,2025-10-02 00:00:00,ADA/USD,0.85167,0.87821,0.83694,0.87163,302074.71437642194,346563.00767117
1759276800000,2025-10-01 00:00:00,ADA/USD,0.80936,0.85036,0.79708,0.85036,188507.1841193873,221679.27009665
1759190400000,2025-09-30 00:00:00,ADA/USD,0.80586,0.81147,0.78,0.80764,62259.55107603658,77088.24609484
1759104000000,2025-09-29 00:00:00,ADA/USD,0.80911,0.81695,0.78974,0.80779,68483.99598286806,84779.45503518
1759017600000,2025-09-28 00:00:00,ADA/USD,0.78225,0.81305,0.76668,0.81089,114705.31713056925,141456.07558432
1758931200000,2025-09-27 00:00:00,ADA/USD,0.79299,0.79594,0.77828,0.78176,50698.78800370104,64852.11318525
1758844800000,2025-09-26 00:00:00,ADA/USD,0.76605,0.79802,0.75971,0.79316,112692.1090237652,142079.91959222
1758758400000,2025-09-25 00:00:00,ADA/USD,0.81394,0.81521,0.75486,0.763,177910.2239000637,233171.98414163
1758672000000,2025-09-24 00:00:00,ADA/USD,0.80813,0.83174,0.79091,0.81463,72327.84599418784,88786.13111988
1758585600000,2025-09-23 00:00:00,ADA/USD,0.82636,0.82992,0.80445,0.80789,179266.57804818993,221894.7852408
1758499200000,2025-09-22 00:00:00,ADA/USD,0.88483,0.88855,0.79097,0.82547,583095.1632843455,706379.5937882
1758412800000,2025-09-21 00:00:00,ADA/USD,0.89444,0.9015,0.87615,0.8881,87765.64108539214,98824.05256772
1758326400000,2025-09-20 00:00:00,ADA/USD,0.89149,0.90829,0.88858,0.89514,56795.41188989944,63448.63584456
1758240000000,2025-09-19 00:00:00,ADA/USD,0.92707,0.93568,0.88677,0.8924,270960.03203575406,303630.69479578
1758153600000,2025-09-18 00:00:00,ADA/USD,0.91518,0.93784,0.90022,0.92521,266242.777870908,287764.69976644
1758067200000,2025-09-17 00:00:00,ADA/USD,0.88112,0.91916,0.86152,0.915,216019.4398102554,236086.81946476
1757980800000,2025-09-16 00:00:00,ADA/USD,0.8637,0.88468,0.85489,0.88119,177499.69738923546,201431.81083448
1757894400000,2025-09-15 00:00:00,ADA/USD,0.88991,0.90417,0.85458,0.86402,227245.20775704843,263009.19857995
1757808000000,2025-09-14 00:00:00,ADA/USD,0.92858,0.92916,0.87814,0.89049,269742.24269961455,302914.39847681
1757721600000,2025-09-13 00:00:00,ADA/USD,0.91667,0.95313,0.91387,0.92685,424405.54213110433,457901.00030329
1757635200000,2025-09-12 00:00:00,ADA/USD,0.89389,0.917,0.8814,0.91693,218981.04178061543,238819.80279914
1757548800000,2025-09-11 00:00:00,ADA/USD,0.8855,0.89702,0.86629,0.89509,181902.42769386768,203222.50018866
1757462400000,2025-09-10 00:00:00,ADA/USD,0.86603,0.89579,0.86112,0.88397,331432.2646852531,374936.10041659
1757376000000,2025-09-09 00:00:00,ADA/USD,0.86735,0.89387,0.85251,0.8657,338357.2690602158,390848.17957747
1757289600000,2025-09-08 00:00:00,ADA/USD,0.8364,0.86942,0.83135,0.86509,201600.2322172153,233039.60537888
1757203200000,2025-09-07 00:00:00,ADA/USD,0.81916,0.84272,0.81916,0.83815,69674.39392485945,83128.78831338
1757116800000,2025-09-06 00:00:00,ADA/USD,0.83035,0.8343,0.81653,0.81824,157093.67186749994,191989.72412434
1757030400000,2025-09-05 00:00:00,ADA/USD,0.81092,0.85115,0.80728,0.82986,440299.94117975933,530571.35080587
1756944000000,2025-09-04 00:00:00,ADA/USD,0.83878,0.84319,0.80443,0.81493,361392.0192687795,443463.879436
1756857600000,2025-09-03 00:00:00,ADA/USD,0.8376,0.84426,0.82791,0.83811,67152.58512479058,80123.83234276
1756771200000,2025-09-02 00:00:00,ADA/USD,0.80218,0.83609,0.80084,0.83607,96191.88295831741,115052.42737847
1756684800000,2025-09-01 00:00:00,ADA/USD,0.81159,0.84319,0.7842,0.8006,222764.76590984,278247.27193335
1756598400000,2025-08-31 00:00:00,ADA/USD,0.82429,0.83894,0.81138,0.81285,75635.87981955925,93050.23044788
1756512000000,2025-08-30 00:00:00,ADA/USD,0.82828,0.84432,0.80648,0.82443,77676.53343751532,94218.47026129
1756425600000,2025-08-29 00:00:00,ADA/USD,0.85943,0.86712,0.81104,0.8302,264974.3381580048,319169.28229102
1756339200000,2025-08-28 00:00:00,ADA/USD,0.8519,0.88184,0.84301,0.85951,190104.84221140543,221178.16222197
1756252800000,2025-08-27 00:00:00,ADA/USD,0.86805,0.8791,0.84859,0.85077,317889.3553477943,373648.99484913
1756166400000,2025-08-26 00:00:00,ADA/USD,0.8385,0.87527,0.82808,0.86791,336597.6134281551,387825.48124593
1756080000000,2025-08-25 00:00:00,ADA/USD,0.91087,0.92693,0.83131,0.84067,443176.4288268152,527170.50546209
1755993600000,2025-08-24 00:00:00,ADA/USD,0.91578,0.96466,0.88994,0.91108,457253.97582979244,501881.25722197
1755907200000,2025-08-23 00:00:00,ADA/USD,0.93267,0.93895,0.89222,0.91626,288692.58578312065,315077.14598817
1755820800000,2025-08-22 00:00:00,ADA/USD,0.85385,0.94257,0.82444,0.93148,738496.6334526634,792820.70839166
1755734400000,2025-08-21 00:00:00,ADA/USD,0.88303,0.89359,0.84776,0.85022,63262.09102972046,74406.73123394
1755648000000,2025-08-20 00:00:00,ADA/USD,0.84875,0.89454,0.83838,0.88212,227288.2814476424,257661.40825244001
1755561600000,2025-08-19 00:00:00,ADA/USD,0.92511,0.95524,0.846,0.846,565121.6407368121,667992.48314044
1755475200000,2025-08-18 00:00:00,ADA/USD,0.96295,0.96803,0.89267,0.92338,479478.57291389187,519264.62877027
1755388800000,2025-08-17 00:00:00,ADA/USD,0.91715,0.98824,0.90657,0.96574,326223.34011746745,337796.23927503
1755302400000,2025-08-16 00:00:00,ADA/USD,0.95046,0.97948,0.90305,0.92078,322653.24897832936,350412.96398524
1755216000000,2025-08-15 00:00:00,ADA/USD,0.92391,0.96423,0.9139,0.94707,573348.380791622,605391.76701999
1755129600000,2025-08-14 00:00:00,ADA/USD,0.9159,1.0182,0.88,0.92576,1428741.3309404403,1543317.19985789
1755043200000,2025-08-13 00:00:00,ADA/USD,0.842,0.92,0.83299,0.9047,1149587.8368035706,1270684.0243214
1754956800000,2025-08-12 00:00:00,ADA/USD,0.7731,0.8577,0.76918,0.84098,347032.5205361354,412652.52507329
1754870400000,2025-08-11 00:00:00,ADA/USD,0.80222,0.8334,0.76804,0.77406,248716.2327961189,321313.89400837
1754784000000,2025-08-10 00:00:00,ADA/USD,0.801,0.83446,0.78606,0.80256,128659.45073561143,160311.31720446
1754697600000,2025-08-09 00:00:00,ADA/USD,0.79213,0.82042,0.79074,0.80574,261070.9723494204,324013.9155924
1754611200000,2025-08-08 00:00:00,ADA/USD,0.78972,0.80673,0.77666,0.79135,10763092.707025224,13600925.89502145
1754524800000,2025-08-07 00:00:00,ADA/USD,0.74269,0.78954,0.73494,0.78741,534525.5836456108,678840.22763949
1754438400000,2025-08-06 00:00:00,ADA/USD,0.72341,0.74839,0.71037,0.74164,172768.09494121937,232954.1218667
1754352000000,2025-08-05 00:00:00,ADA/USD,0.75602,0.76,0.71473,0.72653,617644.5294845913,850129.4227142599
1754265600000,2025-08-04 00:00:00,ADA/USD,0.72852,0.75927,0.72728,0.75526,179908.73367899735,238207.68169769
1754179200000,2025-08-03 00:00:00,ADA/USD,0.70061,0.7319,0.68991,0.72815,171590.8560256969,235653.17039854
1754092800000,2025-08-02 00:00:00,ADA/USD,0.71565,0.7286,0.68613,0.70023,304645.39346503845,435064.75510195
1754006400000,2025-08-01 00:00:00,ADA/USD,0.73993,0.74051,0.69707,0.71566,5987758.7502013035,8366764.59520066
1753920000000,2025-07-31 00:00:00,ADA/USD,0.76438,0.78993,0.73759,0.73759,286384.0921094692,388270.03092432
