https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UST,Volume ADA
1760054400000,2025-10-10 00:00:00,ADA/UST,0.81484,0.81484,0.81484,0.81484,672.4163234185852,825.21270853
1759968000000,2025-10-09 00:00:00,ADA/UST,0.83903,0.83903,0.7954,0.8114,17732.000253467475,21853.586706269998
1759881600000,2025-10-08 00:00:00,ADA/UST,0.82195,0.85169,0.80885,0.84184,81763.70287171981,97124.9915325
1759795200000,2025-10-07 00:00:00,ADA/UST,0.8735,0.8735,0.82,0.82,27961.4875490196,34099.37505978
1759708800000,2025-10-06 00:00:00,ADA/UST,0.83232,0.8804,0.83232,0.87802,29605.072005461952,33717.99276265
1759622400000,2025-10-05 00:00:00,ADA/UST,0.84111,0.88209,0.82818,0.838,54862.570906996676,65468.46170286
1759536000000,2025-10-04 00:00:00,ADA/UST,0.86386,0.86386,0.83499,0.8404,37022.035833581,44052.87462349
1759449600000,2025-10-03 00:00:00,ADA/UST,0.8655,0.89088,0.8491,0.86613,32542.24081124994,37572.00513924
1759363200000,2025-10-02 00:00:00,ADA/UST,0.85194,0.87634,0.83998,0.8653,211888.91174932613,244873.35230478
1759276800000,2025-10-01 00:00:00,ADA/UST,0.81048,0.84769,0.79832,0.84769,97728.41500368564,115287.9177573
1759190400000,2025-09-30 00:00:00,ADA/UST,0.80376,0.81048,0.78,0.80645,23442.926141376527,29069.28655388
1759104000000,2025-09-29 00:00:00,ADA/UST,0.80526,0.81454,0.79138,0.81042,27519.27052195453,33956.80082174
1759017600000,2025-09-28 00:00:00,ADA/UST,0.78006,0.81048,0.76522,0.80815,28544.45792249932,35320.74234053
1758931200000,2025-09-27 00:00:00,ADA/UST,0.79016,0.79096,0.78006,0.78424,42477.07542193193,54163.36251904
1758844800000,2025-09-26 00:00:00,ADA/UST,0.7672,0.79447,0.76,0.79075,150689.38346827053,190565.13875216
1758758400000,2025-09-25 00:00:00,ADA/UST,0.81182,0.81182,0.7555,0.76256,133599.0747052019,175198.11517153
1758672000000,2025-09-24 00:00:00,ADA/UST,0.81256,0.83001,0.79374,0.81469,103278.2970269855,126770.05612808
1758585600000,2025-09-23 00:00:00,ADA/UST,0.82521,0.82819,0.80542,0.80778,36635.45816081327,45353.26222587
1758499200000,2025-09-22 00:00:00,ADA/UST,0.87912,0.87912,0.78881,0.82494,201481.3501521308,244237.58109939
1758412800000,2025-09-21 00:00:00,ADA/UST,0.89367,0.89975,0.87564,0.88597,52895.06840799808,59703.0016908
1758326400000,2025-09-20 00:00:00,ADA/UST,0.88977,0.9051,0.88788,0.89199,6666.197317174395,7473.3991605
1758240000000,2025-09-19 00:00:00,ADA/UST,0.92693,0.93617,0.88788,0.88788,232582.6569251785,261952.80547504
1758153600000,2025-09-18 00:00:00,ADA/UST,0.91303,0.93658,0.90012,0.925,96802.10898877175,104650.92863651
1758067200000,2025-09-17 00:00:00,ADA/UST,0.8787,0.91764,0.8626,0.91314,66738.52292312963,73086.84640157
1757980800000,2025-09-16 00:00:00,ADA/UST,0.86263,0.88,0.85954,0.87882,36673.68093728315,41730.59436208
1757894400000,2025-09-15 00:00:00,ADA/UST,0.8853,0.90065,0.85408,0.86339,112308.36029186177,130078.36585073
1757808000000,2025-09-14 00:00:00,ADA/UST,0.92867,0.92867,0.87888,0.88884,158164.103293215,177944.40314704
1757721600000,2025-09-13 00:00:00,ADA/UST,0.91763,0.9525,0.9175,0.926,311948.1296844275,336877.02989679
1757635200000,2025-09-12 00:00:00,ADA/UST,0.8947,0.91707,0.88655,0.91707,207338.55282368444,226088.03343658
1757548800000,2025-09-11 00:00:00,ADA/UST,0.88592,0.89622,0.8725,0.89408,72498.249348791,81086.98253936
1757462400000,2025-09-10 00:00:00,ADA/UST,0.86606,0.89532,0.86381,0.88658,39755.177014871624,44841.0487659
1757376000000,2025-09-09 00:00:00,ADA/UST,0.86756,0.89425,0.85434,0.86594,236714.79981639495,273361.66456844
1757289600000,2025-09-08 00:00:00,ADA/UST,0.83631,0.86635,0.83519,0.86633,163561.29947984108,188797.91705221
1757203200000,2025-09-07 00:00:00,ADA/UST,0.8188,0.84,0.8188,0.84,27539.5872167808,32785.22287712
1757116800000,2025-09-06 00:00:00,ADA/UST,0.83077,0.83544,0.81798,0.81813,23029.690113323537,28149.181808909998
1757030400000,2025-09-05 00:00:00,ADA/UST,0.80954,0.84605,0.80954,0.83314,96435.1728480597,115749.06119987
1756944000000,2025-09-04 00:00:00,ADA/UST,0.83744,0.83744,0.80388,0.81206,47040.49707428916,57927.36629595
1756857600000,2025-09-03 00:00:00,ADA/UST,0.83654,0.8425,0.827,0.83679,30621.89783246765,36594.48348148
1756771200000,2025-09-02 00:00:00,ADA/UST,0.80109,0.83343,0.79832,0.83245,699672.9448571746,840498.46219854
1756684800000,2025-09-01 00:00:00,ADA/UST,0.81071,0.84343,0.78293,0.79935,86713.51049831326,108480.02814576
1756598400000,2025-08-31 00:00:00,ADA/UST,0.82301,0.83482,0.80983,0.80983,78271.51981154924,96651.79088395
1756512000000,2025-08-30 00:00:00,ADA/UST,0.82698,0.84315,0.80886,0.82301,48960.97265328381,59490.13092585
1756425600000,2025-08-29 00:00:00,ADA/UST,0.8569,0.85933,0.81243,0.82699,279416.76104124624,337871.99487448
1756339200000,2025-08-28 00:00:00,ADA/UST,0.84948,0.8802,0.84497,0.85835,128576.74589586047,149795.24191281002
1756252800000,2025-08-27 00:00:00,ADA/UST,0.86553,0.87298,0.84917,0.85011,50648.17718457282,59578.380662
1756166400000,2025-08-26 00:00:00,ADA/UST,0.83484,0.874,0.82912,0.86608,136934.65092406335,158108.54762154
1756080000000,2025-08-25 00:00:00,ADA/UST,0.90813,0.92451,0.83205,0.83217,271181.3249542493,325872.50796622003
1755993600000,2025-08-24 00:00:00,ADA/UST,0.91494,0.96,0.88865,0.91156,167556.97266967918,183813.43265356
1755907200000,2025-08-23 00:00:00,ADA/UST,0.93314,0.93723,0.8939,0.91429,177684.2637975875,194341.25255399
1755820800000,2025-08-22 00:00:00,ADA/UST,0.85191,0.94116,0.8224,0.93105,1349822.2922018718,1449784.96557851
1755734400000,2025-08-21 00:00:00,ADA/UST,0.88151,0.89096,0.8496,0.85123,131562.30491854352,154555.5313118
1755648000000,2025-08-20 00:00:00,ADA/UST,0.84655,0.88837,0.84,0.88575,195504.3427278398,220721.80945847
1755561600000,2025-08-19 00:00:00,ADA/UST,0.92351,0.95351,0.84839,0.84967,285319.32127668295,335800.15921085
1755475200000,2025-08-18 00:00:00,ADA/UST,0.96095,0.96766,0.89335,0.92479,925302.2676898371,1000553.92866471
1755388800000,2025-08-17 00:00:00,ADA/UST,0.92013,0.98138,0.90583,0.96411,177263.30096622405,183862.11217208
1755302400000,2025-08-16 00:00:00,ADA/UST,0.94647,0.97353,0.90298,0.91951,326345.5063725014,354912.40592544
1755216000000,2025-08-15 00:00:00,ADA/UST,0.92595,0.96247,0.91048,0.94201,464084.2114027372,492653.16865292
1755129600000,2025-08-14 00:00:00,ADA/UST,0.91746,1.0183,0.87996,0.92336,1123006.416201479,1216217.31090959
1755043200000,2025-08-13 00:00:00,ADA/UST,0.84134,0.92,0.83358,0.851,348375.5695323383,409371.99710028
1754956800000,2025-08-12 00:00:00,ADA/UST,0.77749,0.85508,0.768,0.84211,117982.01693028276,140102.85702614
1754870400000,2025-08-11 00:00:00,ADA/UST,0.79879,0.83235,0.77107,0.77395,70003.28391786093,90449.36225578
1754784000000,2025-08-10 00:00:00,ADA/UST,0.81268,0.83235,0.78506,0.7972,273761.316621825,343403.55823109
1754697600000,2025-08-09 00:00:00,ADA/UST,0.79124,0.82,0.79044,0.80315,121961.42656468404,151853.85863747
1754611200000,2025-08-08 00:00:00,ADA/UST,0.78802,0.80379,0.77782,0.79105,5840001.348900661,7382594.46166571
1754524800000,2025-08-07 00:00:00,ADA/UST,0.73894,0.78674,0.73494,0.78674,187756.55185444775,238651.33570741
1754438400000,2025-08-06 00:00:00,ADA/UST,0.72574,0.74557,0.71101,0.74213,85834.85342146482,115660.13154227
1754352000000,2025-08-05 00:00:00,ADA/UST,0.75693,0.75863,0.7138,0.72595,331703.7527307016,456923.68996584
1754265600000,2025-08-04 00:00:00,ADA/UST,0.72584,0.75736,0.72584,0.75487,89670.05040333419,118788.73236893
1754179200000,2025-08-03 00:00:00,ADA/UST,0.69364,0.72775,0.68807,0.72624,201802.22407040495,277872.63724169
1754092800000,2025-08-02 00:00:00,ADA/UST,0.71347,0.72366,0.6871,0.6996,99578.00144085538,142335.62241403
1754006400000,2025-08-01 00:00:00,ADA/UST,0.73924,0.74018,0.69596,0.71521,3185929.760295235,4454537.49289752
1753920000000,2025-07-31 00:00:00,ADA/UST,0.76201,0.78846,0.73641,0.73895,241792.74814291744,327211.24317331
1753833600000,2025-07-30 00:00:00,ADA/UST,0.7799,0.78855,0.73216,0.76378,591153.6851551022,773984.24304787
1753747200000,2025-07-29 00:00:00,ADA/UST,0.79067,0.80828,0.77126,0.78271,210166.4180277853,268511.22130519
1753660800000,2025-07-28 00:00:00,ADA/UST,0.8314,0.85306,0.78803,0.78965,681939.1057504918,863596.66402899
1753574400000,2025-07-27 00:00:00,ADA/UST,0.81872,0.83944,0.81632,0.82989,84703.57626203701,102066.02834356
1753488000000,2025-07-26 00:00:00,ADA/UST,0.81483,0.83709,0.81483,0.82391,88199.2092995582,107049.56767069
1753401600000,2025-07-25 00:00:00,ADA/UST,0.80609,0.81697,0.77659,0.81537,594027.0477132013,728536.7964399
1753315200000,2025-07-24 00:00:00,ADA/UST,0.81492,0.83469,0.76505,0.80311,556798.7645288878,693303.23931826
1753228800000,2025-07-23 00:00:00,ADA/UST,0.89651,0.89993,0.78764,0.819,453950.2485108454,554273.80770555
1753142400000,2025-07-22 00:00:00,ADA/UST,0.89058,0.90734,0.85483,0.90069,375145.70358051563,416509.23578647
1753056000000,2025-07-21 00:00:00,ADA/UST,0.85549,0.93232,0.84413,0.89106,351032.42999479256,393949.26267007
1752969600000,2025-07-20 00:00:00,ADA/UST,0.82985,0.87745,0.82317,0.85856,168723.44039990832,196519.10221756
1752883200000,2025-07-19 00:00:00,ADA/UST,0.81965,0.83502,0.80361,0.82868,307351.7341649741,370893.14833829
1752796800000,2025-07-18 00:00:00,ADA/UST,0.82288,0.89,0.79933,0.81562,718494.3882491582,880918.06018631
1752710400000,2025-07-17 00:00:00,ADA/UST,0.7652,0.83344,0.74276,0.82125,756435.926347312,921078.75354315
1752624000000,2025-07-16 00:00:00,ADA/UST,0.74523,0.7825,0.73413,0.76235,415089.11911755695,544486.28466919
1752537600000,2025-07-15 00:00:00,ADA/UST,0.73122,0.7481,0.71223,0.74619,503680.51078417327,675003.02977013
1752451200000,2025-07-14 00:00:00,ADA/UST,0.74195,0.76762,0.72542,0.73336,286060.42536711815,390068.2139292
1752364800000,2025-07-13 00:00:00,ADA/UST,0.70745,0.75298,0.70597,0.73699,490005.20801155653,664873.61838228
1752278400000,2025-07-12 00:00:00,ADA/UST,0.71367,0.73686,0.69043,0.70879,286491.3462079289,404197.78242911
1752192000000,2025-07-11 00:00:00,ADA/UST,0.6765,0.77651,0.66979,0.71039,1161567.0069817929,1635111.70903559
1752105600000,2025-07-10 00:00:00,ADA/UST,0.62284,0.6797,0.61773,0.67721,597336.704086358,882055.35075731
1752019200000,2025-07-09 00:00:00,ADA/UST,0.58809,0.62642,0.58378,0.62316,596973.7352486389,957978.26440824
1751932800000,2025-07-08 00:00:00,ADA/UST,0.58204,0.59212,0.57282,0.58854,1122230.7969206723,1906804.6299668201
1751846400000,2025-07-07 00:00:00,ADA/UST,0.58583,0.59442,0.57547,0.57547,113011.4870573367,196381.19633923
1751760000000,2025-07-06 00:00:00,ADA/UST,0.57522,0.59358,0.57113,0.58462,66802.95044495969,114267.3025982
1751673600000,2025-07-05 00:00:00,ADA/UST,0.57342,0.58267,0.56908,0.57638,39802.55168796072,69056.09439599
1751587200000,2025-07-04 00:00:00,ADA/UST,0.59962,0.60154,0.56428,0.57249,60758.174175004315,106129.66894619
1751500800000,2025-07-03 00:00:00,ADA/UST,0.58482,0.60979,0.58309,0.6005,130270.2570148092,216936.31476238
1751414400000,2025-07-02 00:00:00,ADA/UST,0.54409,0.59932,0.54282,0.58369,398555.52536489925,682820.54749079
1751328000000,2025-07-01 00:00:00,ADA/UST,0.5731,0.57528,0.538,0.53881,194334.52251141568,360673.56305825
