https://www.CryptoDataDownload.com,,,,,,,,
unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1.76049E+12,15-10-2025 00:00,BTC/USD,113260,113310,112950,113270,13509097.08,119.2645632
1.7604E+12,14-10-2025 00:00,BTC/USD,115390,115630,110160,113260,273480812.9,2414.628403
1.76031E+12,13-10-2025 00:00,BTC/USD,115200,116130,113890,115390,127797381.1,1107.525618
1.76023E+12,12-10-2025 00:00,BTC/USD,110990,116000,109910,115230,137533083.5,1193.552751
1.76014E+12,11-10-2025 00:00,BTC/USD,113020,113720,109830,110980,153556848.3,1383.644335
1.76005E+12,10-10-2025 00:00,BTC/USD,121760,122670,103310,113080,280901233.4,2484.092973
1.75997E+12,09-10-2025 00:00,BTC/USD,123410,123760,119600,121760,67789455.23,556.7465114
1.75988E+12,08-10-2025 00:00,BTC/USD,121440,124220,121270,123410,52950107.82,429.0584865
1.7598E+12,07-10-2025 00:00,BTC/USD,124680,125070,120660,121450,78546523.95,646.7395961
1.75971E+12,06-10-2025 00:00,BTC/USD,123490,126110,123170,124680,109452530.6,877.8675856
1.75962E+12,05-10-2025 00:00,BTC/USD,122360,125710,122130,123480,112421321,910.4415371
1.75954E+12,04-10-2025 00:00,BTC/USD,122180,122760,121560,122360,31509291.85,257.5130096
1.75945E+12,03-10-2025 00:00,BTC/USD,120530,123890,119340,122160,89557292.3,733.1147045
1.75936E+12,02-10-2025 00:00,BTC/USD,118730,121090,118390,120570,70419733.45,584.0568421
1.75928E+12,01-10-2025 00:00,BTC/USD,114030,118810,113950,118630,100101980,843.8167414
1.75919E+12,30-09-2025 00:00,BTC/USD,114580,114990,112880,114020,56851896.37,498.6133693
1.7591E+12,29-09-2025 00:00,BTC/USD,112420,114640,111850,114580,51671476.94,450.9641904
1.75902E+12,28-09-2025 00:00,BTC/USD,109950,112620,109500,112370,104558433.2,930.4835205
1.75893E+12,27-09-2025 00:00,BTC/USD,109930,110010,109390,109940,95585841.84,869.4364366
1.75884E+12,26-09-2025 00:00,BTC/USD,109160,110520,108930,109930,144316209.1,1312.800956
1.75876E+12,25-09-2025 00:00,BTC/USD,113540,113710,108880,109180,117061238.4,1072.185734
1.75867E+12,24-09-2025 00:00,BTC/USD,112250,114210,111250,113520,38364335.73,337.9522175
1.75859E+12,23-09-2025 00:00,BTC/USD,112800,113490,111710,112250,65265677.38,581.4314244
1.7585E+12,22-09-2025 00:00,BTC/USD,115450,115550,111760,112810,134919758.1,1195.991119
1.75841E+12,21-09-2025 00:00,BTC/USD,115850,115970,115440,115460,21301758.75,184.494706
1.75833E+12,20-09-2025 00:00,BTC/USD,115840,116300,115620,115840,2482928.819,21.43412309
1.75824E+12,19-09-2025 00:00,BTC/USD,117080,117470,115370,115830,70149292.58,605.6228316
1.75815E+12,18-09-2025 00:00,BTC/USD,116480,118000,116210,117090,20698628.08,176.7753701
1.75807E+12,17-09-2025 00:00,BTC/USD,116870,117360,114880,116500,20261229.82,173.9161358
1.75798E+12,16-09-2025 00:00,BTC/USD,115560,117120,114910,116840,30725774.97,262.9730826
1.75789E+12,15-09-2025 00:00,BTC/USD,115510,116970,114620,115580,60854867.15,526.5172793
